,Movie_Name,Movie_Rating,Movie_Certificate,Movie_Year,Movie_Runtime,Movie_Cast,Movie_Genre,Movie_Poster,Movie_Description,Movie_Poster_HD,All_Movie_Info
60,The Lion King,8.5,U,1994,88 min,"Matthew Broderick, Jeremy Irons, James Earl Jones, Whoopi Goldberg","Animation, Adventure, Drama            ","https://m.media-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_UX67_CR0,0,67,98_AL_.jpg","Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",https://m.media-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_.jpg,the lion king matthew broderick jeremy irons james earl jones whoopi goldberg animation adventure drama lion prince simba and his father are targeted by his bitter uncle who wants to ascend the throne himself
61,Nuovo Cinema Paradiso,8.5,U,1988,155 min,"Philippe Noiret, Enzo Cannavale, Antonella Attili, Isa Danieli","Drama, Romance            ","https://m.media-amazon.com/images/M/MV5BM2FhYjEyYmYtMDI1Yy00YTdlLWI2NWQtYmEzNzAxOGY1NjY2XkEyXkFqcGdeQXVyNTA3NTIyNDg@._V1_UX67_CR0,0,67,98_AL_.jpg",A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,https://m.media-amazon.com/images/M/MV5BM2FhYjEyYmYtMDI1Yy00YTdlLWI2NWQtYmEzNzAxOGY1NjY2XkEyXkFqcGdeQXVyNTA3NTIyNDg@._V1_.jpg,nuovo cinema paradiso philippe noiret enzo cannavale antonella attili isa danieli drama romance a filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist
62,Hotaru no haka,8.5,U,1988,89 min,"Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi, Yoshiko Shinohara","Animation, Drama, War            ","https://m.media-amazon.com/images/M/MV5BZmY2NjUzNDQtNTgxNC00M2Q4LTljOWQtMjNjNDBjNWUxNmJlXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX67_CR0,0,67,98_AL_.jpg",A young boy and his little sister struggle to survive in Japan during World War II.,https://m.media-amazon.com/images/M/MV5BZmY2NjUzNDQtNTgxNC00M2Q4LTljOWQtMjNjNDBjNWUxNmJlXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_FMjpg_UY720_.jpg,hotaru no haka tsutomu tatsumi ayano shiraishi akemi yamaguchi yoshiko shinohara animation drama war a young boy and his little sister struggle to survive in japan during world war ii
63,Apocalypse Now,8.5,R,1979,147 min,"Martin Sheen, Marlon Brando, Robert Duvall, Frederic Forrest","Drama, Mystery, War            ","https://m.media-amazon.com/images/M/MV5BMDdhODg0MjYtYzBiOS00ZmI5LWEwZGYtZDEyNDU4MmQyNzFkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,https://m.media-amazon.com/images/M/MV5BMDdhODg0MjYtYzBiOS00ZmI5LWEwZGYtZDEyNDU4MmQyNzFkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,apocalypse now martin sheen marlon brando robert duvall frederic forrest drama mystery war a us army officer serving in vietnam is tasked with assassinating a renegade special forces colonel who sees himself as a god
64,Alien,8.5,R,1979,117 min,"Sigourney Weaver, Tom Skerritt, John Hurt, Veronica Cartwright","Horror, Sci-Fi            ","https://m.media-amazon.com/images/M/MV5BMmQ2MmU3NzktZjAxOC00ZDZhLTk4YzEtMDMyMzcxY2IwMDAyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.,https://m.media-amazon.com/images/M/MV5BODcwZjM3NzEtOWQ4YS00NGEyLTliZmItNDBkNGNkYWUwNWNmXkEyXkFqcGdeQXVyNjc1NTYwMjc@._V1_.jpg,alien sigourney weaver tom skerritt john hurt veronica cartwright horror sci-fi the crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission
65,Once Upon a Time in the West,8.5,U,1968,165 min,"Henry Fonda, Charles Bronson, Claudia Cardinale, Jason Robards",Western            ,"https://m.media-amazon.com/images/M/MV5BZGI5MjBmYzYtMzJhZi00NGI1LTk3MzItYjBjMzcxM2U3MDdiXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,https://m.media-amazon.com/images/M/MV5BZGI5MjBmYzYtMzJhZi00NGI1LTk3MzItYjBjMzcxM2U3MDdiXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,once upon a time in the west henry fonda charles bronson claudia cardinale jason robards western a mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad
66,Psycho,8.5,A,1960,109 min,"Anthony Perkins, Janet Leigh, Vera Miles, John Gavin","Horror, Mystery, Thriller            ","https://m.media-amazon.com/images/M/MV5BNTQwNDM1YzItNDAxZC00NWY2LTk0M2UtNDIwNWI5OGUyNWUxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg","A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",https://m.media-amazon.com/images/M/MV5BNTQwNDM1YzItNDAxZC00NWY2LTk0M2UtNDIwNWI5OGUyNWUxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,psycho anthony perkins janet leigh vera miles john gavin horror mystery thriller a phoenix secretary embezzles $40000 from her employer's client goes on the run and checks into a remote motel run by a young man under the domination of his mother
67,Rear Window,8.5,U,1954,112 min,"James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter","Mystery, Thriller            ","https://m.media-amazon.com/images/M/MV5BNGUxYWM3M2MtMGM3Mi00ZmRiLWE0NGQtZjE5ODI2OTJhNTU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg","A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.",https://m.media-amazon.com/images/M/MV5BNGUxYWM3M2MtMGM3Mi00ZmRiLWE0NGQtZjE5ODI2OTJhNTU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,rear window james stewart grace kelly wendell corey thelma ritter mystery thriller a wheelchair-bound photographer spies on his neighbors from his greenwich village courtyard apartment window and becomes convinced one of them has committed murder despite the skepticism of his fashion-model girlfriend
68,Casablanca,8.5,U,1942,102 min,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains","Drama, Romance, War            ","https://m.media-amazon.com/images/M/MV5BY2IzZGY2YmEtYzljNS00NTM5LTgwMzUtMzM1NjQ4NGI0OTk0XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_UX67_CR0,0,67,98_AL_.jpg",A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,https://m.media-amazon.com/images/M/MV5BY2IzZGY2YmEtYzljNS00NTM5LTgwMzUtMzM1NjQ4NGI0OTk0XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_.jpg,casablanca humphrey bogart ingrid bergman paul henreid claude rains drama romance war a cynical expatriate american cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the nazis in french morocco
69,Modern Times,8.5,N/A,1936,87 min,"Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford","Comedy, Drama, Romance            ","https://m.media-amazon.com/images/M/MV5BYjJiZjMzYzktNjU0NS00OTkxLWEwYzItYzdhYWJjN2QzMTRlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,https://m.media-amazon.com/images/M/MV5BYjJiZjMzYzktNjU0NS00OTkxLWEwYzItYzdhYWJjN2QzMTRlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,modern times charles chaplin paulette goddard henry bergman tiny sandford comedy drama romance the tramp struggles to live in modern industrial society with the help of a young homeless woman
70,City Lights,8.5,G,1931,87 min,"Charles Chaplin, Virginia Cherrill, Florence Lee, Harry Myers","Comedy, Drama, Romance            ","https://m.media-amazon.com/images/M/MV5BY2I4MmM1N2EtM2YzOS00OWUzLTkzYzctNDc5NDg2N2IyODJmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",https://m.media-amazon.com/images/M/MV5BY2I4MmM1N2EtM2YzOS00OWUzLTkzYzctNDc5NDg2N2IyODJmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,city lights charles chaplin virginia cherrill florence lee harry myers comedy drama romance with the aid of a wealthy erratic tippler a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically
71,Hamilton,8.4,12+,2020,160 min,"Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr., Renée Elise Goldsberry","Biography, Drama, History            ","https://m.media-amazon.com/images/M/MV5BNjViNWRjYWEtZTI0NC00N2E3LTk0NGQtMjY4NTM3OGNkZjY0XkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_UX67_CR0,0,67,98_AL_.jpg","The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",https://m.media-amazon.com/images/M/MV5BNjViNWRjYWEtZTI0NC00N2E3LTk0NGQtMjY4NTM3OGNkZjY0XkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_.jpg,hamilton lin-manuel miranda phillipa soo leslie odom jr renée elise goldsberry biography drama history the real life of one of america's foremost founding fathers and first secretary of the treasury alexander hamilton captured live on broadway from the richard rodgers theater with the original broadway cast
72,Uri: The Surgical Strike,8.4,UA,2019,138 min,"Vicky Kaushal, Paresh Rawal, Mohit Raina, Yami Gautam","Action, Drama, War            ","https://m.media-amazon.com/images/M/MV5BMWU4ZjNlNTQtOGE2MS00NDI0LWFlYjMtMmY3ZWVkMjJkNGRmXkEyXkFqcGdeQXVyNjE1OTQ0NjA@._V1_UY98_CR0,0,67,98_AL_.jpg","Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",https://m.media-amazon.com/images/M/MV5BMWU4ZjNlNTQtOGE2MS00NDI0LWFlYjMtMmY3ZWVkMjJkNGRmXkEyXkFqcGdeQXVyNjE1OTQ0NjA@._V1_.jpg,uri: the surgical strike vicky kaushal paresh rawal mohit raina yami gautam action drama war indian army special forces execute a covert operation avenging the killing of fellow army men at their base by a terrorist group
73,Capharnaüm,8.4,A,2018,126 min,"Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole, Kawsar Al Haddad",Drama            ,"https://m.media-amazon.com/images/M/MV5BMmExNzU2ZWMtYzUwYi00YmM2LTkxZTQtNmVhNjY0NTMyMWI2XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg","While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",https://m.media-amazon.com/images/M/MV5BMmExNzU2ZWMtYzUwYi00YmM2LTkxZTQtNmVhNjY0NTMyMWI2XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,capharnaüm zain al rafeea yordanos shiferaw boluwatife treasure bankole kawsar al haddad drama while serving a five-year sentence for a violent crime a 12-year-old boy sues his parents for neglect
74,Joker,8.4,A,2019,122 min,"Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy","Crime, Drama, Thriller            ","https://m.media-amazon.com/images/M/MV5BNGVjNWI4ZGUtNzE0MS00YTJmLWE0ZDctN2ZiYTk2YmI3NTYyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg","In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",https://m.media-amazon.com/images/M/MV5BMTcyNjU1MjQ3MF5BMl5BanBnXkFtZTgwNTk1MDA4NzM@._V1_.jpg,joker joaquin phoenix robert de niro zazie beetz frances conroy crime drama thriller in gotham city mentally troubled comedian arthur fleck is disregarded and mistreated by society he then embarks on a downward spiral of revolution and bloody crime this path brings him face-to-face with his alter-ego: the joker
75,Vikram Vedha,8.4,UA,2017,147 min,"Madhavan, Vijay Sethupathi, Shraddha Srinath, Kathir","Action, Crime, Drama            ","https://m.media-amazon.com/images/M/MV5BY2FiMTFmMzMtZDI2ZC00NDQyLWExYTUtOWNmZWM1ZDg5YjVjXkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_UX67_CR0,0,67,98_AL_.jpg","Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.",https://m.media-amazon.com/images/M/MV5BY2FiMTFmMzMtZDI2ZC00NDQyLWExYTUtOWNmZWM1ZDg5YjVjXkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_.jpg,vikram vedha madhavan vijay sethupathi shraddha srinath kathir action crime drama vikram a no-nonsense police officer accompanied by simon his partner is on the hunt to capture vedha a smuggler and a murderer vedha tries to change vikram's life which leads to a conflict
76,Kimi no na wa.,8.4,U,2016,106 min,"Ryûnosuke Kamiki, Mone Kamishiraishi, Ryô Narita, Aoi Yûki","Animation, Drama, Fantasy            ","https://m.media-amazon.com/images/M/MV5BODRmZDVmNzUtZDA4ZC00NjhkLWI2M2UtN2M0ZDIzNDcxYThjL2ltYWdlXkEyXkFqcGdeQXVyNTk0MzMzODA@._V1_UX67_CR0,0,67,98_AL_.jpg","Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",https://m.media-amazon.com/images/M/MV5BYjAxOGE2YmEtZjc4MS00ZjcxLWI5NTMtNDA2ZGU5ODQ4NTBmXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_.jpg,kimi no na wa ryûnosuke kamiki mone kamishiraishi ryô narita aoi yûki animation drama fantasy two strangers find themselves linked in a bizarre way when a connection forms will distance be the only thing to keep them apart?
77,Dangal,8.4,U,2016,161 min,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra","Action, Biography, Drama            ","https://m.media-amazon.com/images/M/MV5BMTQ4MzQzMzM2Nl5BMl5BanBnXkFtZTgwMTQ1NzU3MDI@._V1_UY98_CR1,0,67,98_AL_.jpg",Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,https://m.media-amazon.com/images/M/MV5BOTkyYmQ4ZTUtMTA4Yy00OGM3LWExNzAtZTA4NGRjMzJkMjgxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMzgxNjA1NTE@._V1_.jpg,dangal aamir khan sakshi tanwar fatima sana shaikh sanya malhotra action biography drama former wrestler mahavir singh phogat and his two wrestler daughters struggle towards glory at the commonwealth games in the face of societal oppression
78,Spider-Man: Into the Spider-Verse,8.4,U,2018,117 min,"Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali","Animation, Action, Adventure            ","https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_UX67_CR0,0,67,98_AL_.jpg","Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_.jpg,spider-man: into the spider-verse shameik moore jake johnson hailee steinfeld mahershala ali animation action adventure teen miles morales becomes the spider-man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities
79,Avengers: Endgame,8.4,UA,2019,181 min,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","Action, Adventure, Drama            ","https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_UX67_CR0,0,67,98_AL_.jpg","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_.jpg,avengers: endgame robert downey jr chris evans mark ruffalo chris hemsworth action adventure drama after the devastating events of avengers: infinity war (2018) the universe is in ruins with the help of remaining allies the avengers assemble once more in order to reverse thanos' actions and restore balance to the universe
80,Coco,8.4,U,2017,105 min,"Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach","Animation, Adventure, Comedy            ","https://m.media-amazon.com/images/M/MV5BYjQ5NjM0Y2YtNjZkNC00ZDhkLWJjMWItN2QyNzFkMDE3ZjAxXkEyXkFqcGdeQXVyODIxMzk5NjA@._V1_UY98_CR1,0,67,98_AL_.jpg","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",https://m.media-amazon.com/images/M/MV5BYjQ5NjM0Y2YtNjZkNC00ZDhkLWJjMWItN2QyNzFkMDE3ZjAxXkEyXkFqcGdeQXVyODIxMzk5NjA@._V1_.jpg,coco anthony gonzalez gael garcía bernal benjamin bratt alanna ubach animation adventure comedy aspiring musician miguel confronted with his family's ancestral ban on music enters the land of the dead to find his great-great-grandfather a legendary singer
81,The Dark Knight Rises,8.4,UA,2012,164 min,"Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman","Action, Crime, Drama            ","https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_UX67_CR0,0,67,98_AL_.jpg","Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_.jpg,the dark knight rises christian bale tom hardy anne hathaway gary oldman action crime drama eight years after the joker's reign of anarchy batman with the help of the enigmatic catwoman is forced from his exile to save gotham city from the brutal guerrilla terrorist bane
82,Taare Zameen Par,8.4,U,2007,165 min,"Darsheel Safary, Aamir Khan, Tisca Chopra, Vipin Sharma","Drama, Family            ","https://m.media-amazon.com/images/M/MV5BMDhjZWViN2MtNzgxOS00NmI4LThiZDQtZDI3MzM4MDE4NTc0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY98_CR1,0,67,98_AL_.jpg","An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",https://m.media-amazon.com/images/M/MV5BNTVmYTk2NjAtYzY3MS00YjFjLTlkYzktYzg3YzMyZDQyOWRiXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_.jpg,taare zameen par darsheel safary aamir khan tisca chopra vipin sharma drama family an eight-year-old boy is thought to be a lazy trouble-maker until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school
83,WALL·E,8.4,U,2008,98 min,"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard","Animation, Adventure, Family            ","https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_UX67_CR0,0,67,98_AL_.jpg","In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_.jpg,wall·e ben burtt elissa knight jeff garlin fred willard animation adventure family in the distant future a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind
84,The Lives of Others,8.4,A,2006,137 min,"Ulrich Mühe, Martina Gedeck, Sebastian Koch, Ulrich Tukur","Drama, Mystery, Thriller            ","https://m.media-amazon.com/images/M/MV5BOTQyZGFjNWMtYWFiYy00OWU1LTlhMjAtYTBiNmU5NjJiNTAzXkEyXkFqcGdeQXVyMTI3ODAyMzE2._V1_UY98_CR1,0,67,98_AL_.jpg","In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",https://m.media-amazon.com/images/M/MV5BOTQyZGFjNWMtYWFiYy00OWU1LTlhMjAtYTBiNmU5NjJiNTAzXkEyXkFqcGdeQXVyMTI3ODAyMzE2._V1_.jpg,the lives of others ulrich mühe martina gedeck sebastian koch ulrich tukur drama mystery thriller in 1984 east berlin an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives
85,Oldeuboi,8.4,A,2003,101 min,"Choi Min-sik, Yoo Ji-Tae, Kang Hye-jeong, Kim Byeong-Ok","Action, Drama, Mystery            ","https://m.media-amazon.com/images/M/MV5BMTI3NTQyMzU5M15BMl5BanBnXkFtZTcwMTM2MjgyMQ@@._V1_UX67_CR0,0,67,98_AL_.jpg","After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",https://m.media-amazon.com/images/M/MV5BMTI3NTQyMzU5M15BMl5BanBnXkFtZTcwMTM2MjgyMQ@@._V1_.jpg,oldeuboi choi min-sik yoo ji-tae kang hye-jeong kim byeong-ok action drama mystery after being kidnapped and imprisoned for fifteen years oh dae-su is released only to find that he must find his captor in five days
86,American Beauty,8.4,UA,1999,122 min,"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley",Drama            ,"https://m.media-amazon.com/images/M/MV5BNTBmZWJkNjctNDhiNC00MGE2LWEwOTctZTk5OGVhMWMyNmVhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,https://m.media-amazon.com/images/M/MV5BOTk2YTA5OTgtNWUyNi00OTdjLWJjNDMtODE2ZjQwNjIzMzNlXkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_.jpg,american beauty kevin spacey annette bening thora birch wes bentley drama a sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend
87,Mononoke-hime,8.4,U,1997,134 min,"Yôji Matsuda, Yuriko Ishida, Yûko Tanaka, Billy Crudup","Animation, Action, Adventure            ","https://m.media-amazon.com/images/M/MV5BNGIzY2IzODQtNThmMi00ZDE4LWI5YzAtNzNlZTM1ZjYyYjUyXkEyXkFqcGdeQXVyODEzNjM5OTQ@._V1_UX67_CR0,0,67,98_AL_.jpg","On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",https://m.media-amazon.com/images/M/MV5BNGIzY2IzODQtNThmMi00ZDE4LWI5YzAtNzNlZTM1ZjYyYjUyXkEyXkFqcGdeQXVyODEzNjM5OTQ@._V1_.jpg,mononoke-hime yôji matsuda yuriko ishida yûko tanaka billy crudup animation action adventure on a journey to find the cure for a tatarigami's curse ashitaka finds himself in the middle of a war between the forest gods and tatara a mining colony in this quest he also meets san the mononoke hime
88,Braveheart,8.4,A,1995,178 min,"Mel Gibson, Sophie Marceau, Patrick McGoohan, Angus Macfadyen","Biography, Drama, History            ","https://m.media-amazon.com/images/M/MV5BMzkzMmU0YTYtOWM3My00YzBmLWI0YzctOGYyNTkwMWE5MTJkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,https://m.media-amazon.com/images/M/MV5BMzkzMmU0YTYtOWM3My00YzBmLWI0YzctOGYyNTkwMWE5MTJkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,braveheart mel gibson sophie marceau patrick mcgoohan angus macfadyen biography drama history scottish warrior william wallace leads his countrymen in a rebellion to free his homeland from the tyranny of king edward i of england
89,Idi i smotri,8.4,A,1985,142 min,"Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius, Vladas Bagdonas","Drama, Thriller, War            ","https://m.media-amazon.com/images/M/MV5BODM4Njg0NTAtYjI5Ny00ZjAxLTkwNmItZTMxMWU5M2U3M2RjXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg","After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",https://m.media-amazon.com/images/M/MV5BODM4Njg0NTAtYjI5Ny00ZjAxLTkwNmItZTMxMWU5M2U3M2RjXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,idi i smotri aleksey kravchenko olga mironova liubomiras laucevicius vladas bagdonas drama thriller war after finding an old rifle a young boy joins the soviet resistance movement against ruthless german forces and experiences the horrors of world war ii
90,Aliens,8.4,U,1986,137 min,"Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser","Action, Adventure, Sci-Fi            ","https://m.media-amazon.com/images/M/MV5BZGU2OGY5ZTYtMWNhYy00NjZiLWI0NjUtZmNhY2JhNDRmODU3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg","Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",https://m.media-amazon.com/images/M/MV5BYjE1ZDgxMTMtYzA3Ny00MjIwLWFiZTUtZDhhMjM3YzA3M2RkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_FMjpg_UY748_.jpg,aliens sigourney weaver michael biehn carrie henn paul reiser action adventure sci-fi fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures officer ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators
91,Once Upon a Time in America,8.4,A,1984,229 min,"Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams","Crime, Drama            ","https://m.media-amazon.com/images/M/MV5BMGFkNWI4MTMtNGQ0OC00MWVmLTk3MTktOGYxN2Y2YWVkZWE2XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",https://m.media-amazon.com/images/M/MV5BMGFkNWI4MTMtNGQ0OC00MWVmLTk3MTktOGYxN2Y2YWVkZWE2XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,once upon a time in america robert de niro james woods elizabeth mcgovern treat williams crime drama a former prohibition-era jewish gangster returns to the lower east side of manhattan 35 years later where he must once again confront the ghosts and regrets of his old life
